lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
23182,2986,31dec2018,4923,Utilities,2018,1316.0337,7.1823778,0,.041006494,.1195244,.32296741,.016295353,.0039764275,,,,,,
88208,2990,31dec2018,2836,"Healthcare, Medical Equipment, and Drugs",2018,44.114944,3.7867987,.32830325,-.42938924,-.76397681,0,0,1.0352967,,,,,,
14541,2991,31dec2018,2911,"Oil, Gas, and Coal Extraction and Products",2018,235649.23,12.3701,.0017060274,.036228459,.062076367,.15272689,.03450755,.019366706,61,1,8,0,17599.748,16.683395
30509,2999,31dec2018,3452,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,29.539948,3.3857436,0,.065344483,.072037421,0,.036163524,.39214143,,,,,,
23297,3007,30jun2018,5812,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,1312.5668,7.17974,0,.10668671,-.305507,.94042444,.035695538,.0064529171,58,0,5,0,6182.4468,15.637224
23393,3026,31dec2018,2840,Chemicals and Allied Products,2018,5584.5132,8.6277523,.011770965,.12359513,.33516681,.41003859,.015148495,.04862358,61,0,2,0,6589.5347,15.700994
79026,3028,31dec2018,7990,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2190.6133,7.691937,0,.051877595,.1911604,.47859624,.0065320153,.036415551,49,0,4,0,19149.545,16.76779
47677,3036,31dec2018,4813,Telephone and Television Transmission,2018,2007.7063,7.6047482,0,.016231965,-.12880734,.80822229,0,.2245314,44,0,1,0,2827.188,14.854794
23660,3062,31may2019,7200,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,6460.4375,8.7734528,0,.11266282,.25987908,.36436203,.0088888891,.020342283,59,1,15,0,7816.7632,15.871781
27422,3107,31dec2018,1000,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,2742.1199,7.9164867,0,.13059525,-.86810714,.79637027,0,.51791131,59,1,4,0,13694.502,16.432505
46578,3121,30jun2018,2842,Chemicals and Allied Products,2018,4245.8569,8.3536987,.029521102,.15372841,1.297048,.48064727,.024016812,.10113171,53,1,4,0,7255.1729,15.797225
11995,3138,31dec2018,2086,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,2853.1267,7.9561706,0,.031414337,.2632519,.36820754,.004645545,.005530654,62,1,24,0,3687.894,15.120566
11308,3144,31dec2018,2086,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,81608.102,11.309684,0,.013436334,.069177598,.54251617,.032258064,.30756757,52,0,1,0,14855.257,16.513865
24441,3153,31dec2018,1040,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",2018,1579.4764,7.3648486,0,.0064220317,.013405287,.241787,0,.12724572,45,0,7,0,2902.7429,14.881166
24476,3157,30sep2018,3826,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,2170.5586,7.6827397,.050973564,.089248009,.17936084,.25411883,0,.25612062,56,0,16,0,8642.4346,15.972195
30648,3158,31dec2018,3825,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,390.37836,5.9671164,.096887432,.078773811,.11456946,.021317281,.010933941,.58757675,47,0,4,0,2425.1724,14.701413
